cnty,obs,GRRT_WB,CRISIS
_BEN,1973,3.70616530758355,0
_BEN,1974,3.33931217539161,0
_BEN,1975,-4.8953454317771,1
_BEN,1976,.884356313097584,0
_BEN,1977,4.98366373384702,0
_BEN,1978,1.25507801639864,0
_BEN,1979,6.53574741388118,0
_BEN,1980,6.7817638748146,1
_BEN,1981,9.95423117885179,0
_BEN,1982,2.23506632395791,1
_BEN,1983,-4.34782272047339,1
_BEN,1984,7.92983956956059,1
_BEN,1985,7.53032483745377,0
_BEN,1986,2.17114158886997,0
_BEN,1987,-1.50000293546657,0
_BEN,1988,3.40524527797389,0
_BEN,1989,-2.85416048370904,1
_BEN,1990,3.21318828038963,0
_BEN,1991,4.7225093596707,0
_BEN,1992,4.00998007712295,0
_BEN,1993,3.51934305727187,0
_BEN,1994,4.37245555159277,1
_BEN,1995,4.60426161016754,0
_BEN,1996,5.54740333757306,0
_BEN,1997,5.71582909247306,1
_BEN,1998,4.60000000000002,0
_BEN,1999,4.69999999999997,0
_BEN,2000,5.80000000000005,0
_BEN,2001,4.99999999999999,0
_BFA,1960,,
_BFA,1961,4.0439267419829,
_BFA,1962,6.12879620699659,
_BFA,1963,-1.26801319392091,0
_BFA,1964,2.28281788047499,0
_BFA,1965,3.76454346068462,0
_BFA,1966,.537611585484171,0
_BFA,1967,8.82330764706769,0
_BFA,1968,3.07078321600798,0
_BFA,1969,2.02608228018283,0
_BFA,1970,.117016089712337,0
_BFA,1971,1.41334477557326,0
_BFA,1972,2.31149804801063,0
_BFA,1973,.449317904468558,0
_BFA,1974,8.286438811489081,0
_BFA,1975,2.99837660823079,0
_BFA,1976,8.534897992921,1
_BFA,1977,.370350278336502,1
_BFA,1978,4.60782744449133,1
_BFA,1979,3.66462182318961,0
_BFA,1980,.796882248522961,0
_BFA,1981,4.25529891691944,1
_BFA,1982,9.562195589120559,1
_BFA,1983,.345982161439466,0
_BFA,1984,-1.77870105046235,0
_BFA,1985,8.51736667753439,0
_BFA,1986,8.495346263233859,0
_BFA,1987,-1.35301882460973,0
_BFA,1988,6.62952889328466,0
_BFA,1989,.928919261775178,1
_BFA,1990,-1.518030142866,0
_BFA,1991,9.95403159061836,0
_BFA,1992,2.48459360209152,0
_BFA,1993,4.85566936334085,0
_BFA,1994,1.40534262485481,1
_BFA,1995,4.53846624104237,0
_BFA,1996,7.47592376423725,0
_BFA,1997,4.81569075191647,0
_BFA,1998,2.85936588212409,0
_BFA,1999,5.79614220877458,1
_BFA,2000,2.21646259719368,1
_BFA,2001,5.63959080178368,0
_BGD,1960,,
_BGD,1961,6.0581720956588,
_BGD,1962,5.45302231005837,
_BGD,1963,-.45588810377015,
_BGD,1964,10.9527807412904,
_BGD,1965,1.60626222887782,
_BGD,1966,2.56681200027813,
_BGD,1967,-1.87586392708224,
_BGD,1968,9.48945402152034,
_BGD,1969,1.22085790733759,
_BGD,1970,5.61985230234015,
_BGD,1971,-5.47948303564013,
_BGD,1972,-13.9737286906936,
_BGD,1973,3.32568018955314,1
_BGD,1974,14.0255046509124,0
_BGD,1975,-.73869613060252,1
_BGD,1976,4.34777731109024,0
_BGD,1977,1.48936014666103,1
_BGD,1978,7.03384354851264,0
_BGD,1979,6.37346138258764,0
_BGD,1980,1.49628117500559,1
_BGD,1981,10.2112734341131,1
_BGD,1982,3.48291120908675,0
_BGD,1983,4.68030026144926,0
_BGD,1984,4.85289478406614,1
_BGD,1985,3.93206703379553,1
_BGD,1986,4.33975195136496,0
_BGD,1987,4.18141546820195,0
_BGD,1988,2.89094467374294,0
_BGD,1989,2.5196949260952,1
_BGD,1990,6.62747126076802,0
_BGD,1991,3.33935553676747,0
_BGD,1992,5.03913312092786,0
_BGD,1993,4.57437554996456,0
_BGD,1994,4.08470353154453,0
_BGD,1995,4.92505217998867,1
_BGD,1996,4.62196797151289,1
_BGD,1997,5.38755172908254,1
_BGD,1998,5.2275248571294,0
_BGD,1999,4.86929093217701,1
_BGD,2000,5.94455539523267,0
_BGD,2001,5.27391137162587,1
_BGR,1960,,
_BGR,1961,,
_BGR,1962,,
_BGR,1963,,
_BGR,1964,,
_BGR,1965,,
_BGR,1966,,
_BGR,1967,,
_BGR,1968,,
_BGR,1969,,
_BGR,1970,,
_BGR,1971,,
_BGR,1972,,
_BGR,1973,,
_BGR,1974,,
_BGR,1975,,
_BGR,1976,,
_BGR,1977,,
_BGR,1978,,
_BGR,1979,,
_BGR,1980,,
_BGR,1981,4.90016161874622,
_BGR,1982,2.33456558750895,
_BGR,1983,3.43030620685769,
_BGR,1984,3.39644355071686,
_BGR,1985,2.68344065891017,
_BGR,1986,4.2076021114156,
_BGR,1987,6.05451385243511,
_BGR,1988,10.9446918641752,
_BGR,1989,-3.28988199190636,
_BGR,1990,-9.117377192660159,
_BGR,1991,-8.445355216158839,
_BGR,1992,-7.27238785779456,0
_BGR,1993,-1.48021478409929,1
_BGR,1994,1.81801095968031,0
_BGR,1995,2.86018946071651,0
_BGR,1996,-9.39999999999999,1
_BGR,1997,-5.59999999999994,0
_BGR,1998,3.99999999999983,0
_BGR,1999,2.30000000000005,0
_BGR,2000,5.40000000000008,0
_BGR,2001,4.00000000000008,0
_BHR,1960,,
_BHR,1961,,
_BHR,1962,,
_BHR,1963,,
_BHR,1964,,
_BHR,1965,,
_BHR,1966,,
_BHR,1967,,0
_BHR,1968,,0
_BHR,1969,,0
_BHR,1970,,0
_BHR,1971,,0
_BHR,1972,,0
_BHR,1973,,0
_BHR,1974,,0
_BHR,1975,,0
_BHR,1976,,0
_BHR,1977,,0
_BHR,1978,,0
_BHR,1979,,0
_BHR,1980,,0
_BHR,1981,-5.31669605316696,0
_BHR,1982,-7.55622403667097,0
_BHR,1983,6.37638490741458,0
_BHR,1984,5.00364166059724,0
_BHR,1985,-4.75827148505236,0
_BHR,1986,1.18300000000001,0
_BHR,1987,10.399,1
_BHR,1988,7.00000000000006,0
_BHR,1989,.363999999999677,1
_BHR,1990,4.43800000000061,0
_BHR,1991,11.2299999999995,0
_BHR,1992,6.6900000000003,0
_BHR,1993,12.8700000000001,0
_BHR,1994,-.250000000000156,0
_BHR,1995,3.93000000000001,0
_BHR,1996,4.10999999999973,0
_BHR,1997,3.09300000000019,0
_BHR,1998,4.79000000000008,1
_BHR,1999,3.95999999999992,0
_BHR,2000,5.36999999999983,0
_BHR,2001,0,0
_BHS,1960,,
_BHS,1961,10.6670953944566,
_BHS,1962,10.4519724959725,
_BHS,1963,10.5240507393743,
_BHS,1964,10.5015673981191,
_BHS,1965,10.4256010638442,
_BHS,1966,9.071928066795101,
_BHS,1967,9.59811615948729,
_BHS,1968,8.421764230351179,
_BHS,1969,8.9816610505451,1
_BHS,1970,-5.64964985880276,0
_BHS,1971,1.62650987951807,0
_BHS,1972,-3.49733620401332,0
