ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1907,-0.016913115978241,0.0111477505415678,0.0864105522632599,0.0643922835588455,0,0,0,0,0,0,0,0,-0.00400000018998981,0.00300000002607703,0.0260000005364418,0.0329999998211861,0.0556636080145836,0.067082978785038,0.0997943133115768,0.079709067940712,0.121022135019302,0.0932317450642586
32,1908,0.0556636080145836,-0.016913115978241,0.0111477505415678,0.0864105522632599,0,0,0,0,0,0,0,0,0.00700000021606684,-0.00400000018998981,0.00300000002607703,0.0260000005364418,0.0114193735644221,0.0441307090222836,0.024045467376709,0.0653585344552994,0.0375681445002556,
32,1909,0.0114193735644221,0.0556636080145836,-0.016913115978241,0.0111477505415678,0,0,0,0,0,0,0,0,0.0130000002682209,0.00700000021606684,-0.00400000018998981,0.00300000002607703,0.0327113345265388,0.0126260928809643,0.0539391562342644,0.0261487681418657,,
32,1910,0.0327113345265388,0.0114193735644221,0.0556636080145836,-0.016913115978241,0,0,0,0,0,0,0,0,0.0240000002086163,0.0130000002682209,0.00700000021606684,-0.00400000018998981,-0.0200852416455746,0.0212278217077255,-0.00656256638467312,,,
32,1911,-0.0200852416455746,0.0327113345265388,0.0114193735644221,0.0556636080145836,0,0,0,0,0,0,0,0,0.046000000089407,0.0240000002086163,0.0130000002682209,0.00700000021606684,0.0413130633533001,0.0135226752609015,,,,
32,1912,0.0413130633533001,-0.0200852416455746,0.0327113345265388,0.0114193735644221,0,0,0,0,0,0,0,0,-0.00700000021606684,0.046000000089407,0.0240000002086163,0.0130000002682209,-0.0277903880923986,,,,,
32,1913,-0.0277903880923986,0.0413130633533001,-0.0200852416455746,0.0327113345265388,0,0,0,0,0,0,0,0,0.0149999996647239,-0.00700000021606684,0.046000000089407,0.0240000002086163,,,,,,
32,1919,0.0180020108819008,-0.0277903880923986,0.0413130633533001,-0.0200852416455746,0,0,0,0,0,0,0,0,,0.0149999996647239,-0.00700000021606684,0.046000000089407,0.0489773415029049,0.048401303589344,0.0948427468538284,0.164422169327736,0.203909248113632,0.169795081019402
32,1920,0.0489773415029049,0.0180020108819008,-0.0277903880923986,0.0413130633533001,0,0,0,0,0,0,0,0,0.00100000004749745,,0.0149999996647239,-0.00700000021606684,-0.000576036865822971,0.0458654016256332,0.115444824099541,0.154931902885437,0.120817735791206,0.139774456620216
32,1921,-0.000576036865822971,0.0489773415029049,0.0180020108819008,-0.0277903880923986,0,0,0,0,0,0,0,0,0.0700000002980232,0.00100000004749745,,0.0149999996647239,0.0464414395391941,0.116020858287811,0.155507951974869,0.121393784880638,0.140350505709648,0.180110335350037
32,1922,0.0464414395391941,-0.000576036865822971,0.0489773415029049,0.0180020108819008,0,0,0,0,0,0,0,0,0.00899999961256981,0.0700000002980232,0.00100000004749745,,0.0695794224739075,0.109066508710384,0.0749523416161537,0.0939090549945831,0.133668899536133,0.165635630488396
32,1923,0.0695794224739075,0.0464414395391941,-0.000576036865822971,0.0489773415029049,0,0,0,0,0,0,0,0,-0.0260000005364418,0.00899999961256981,0.0700000002980232,0.00100000004749745,0.0394870862364769,0.00537291914224625,0.0243296343833208,0.0640894696116447,0.0960562005639076,0.113612666726112
32,1924,0.0394870862364769,0.0695794224739075,0.0464414395391941,-0.000576036865822971,0,0,0,0,0,0,0,0,-0.0320000015199184,-0.0260000005364418,0.00899999961256981,0.0700000002980232,-0.0341141670942307,-0.0151574518531561,0.024602385237813,0.0565691143274307,0.0741255804896355,0.00614629685878754
32,1925,-0.0341141670942307,0.0394870862364769,0.0695794224739075,0.0464414395391941,0,0,0,0,0,0,0,0,0.00499999988824129,-0.0320000015199184,-0.0260000005364418,0.00899999961256981,0.0189567152410746,0.0587165504693985,0.0906832814216614,0.108239747583866,0.0402604639530182,-0.0542657077312469
32,1926,0.0189567152410746,-0.0341141670942307,0.0394870862364769,0.0695794224739075,0,0,0,0,0,0,0,0,0.028999999165535,0.00499999988824129,-0.0320000015199184,-0.0260000005364418,0.0397598370909691,0.071726568043232,0.0892830342054367,0.0213037505745888,-0.0732224211096764,-0.125764220952988
32,1927,0.0397598370909691,0.0189567152410746,-0.0341141670942307,0.0394870862364769,0,0,0,0,0,0,0,0,-0.0219999998807907,0.028999999165535,0.00499999988824129,-0.0320000015199184,0.0319667309522629,0.0495231971144676,-0.0184560865163803,-0.112982258200645,-0.165524065494537,-0.137802839279175
32,1928,0.0319667309522629,0.0397598370909691,0.0189567152410746,-0.0341141670942307,0,0,0,0,0,0,0,0,-0.0179999992251396,-0.0219999998807907,0.028999999165535,0.00499999988824129,0.0175564680248499,-0.0504228174686432,-0.144948989152908,-0.1974907964468,-0.169769570231438,-0.1097462028265
32,1929,0.0175564680248499,0.0319667309522629,0.0397598370909691,0.0189567152410746,0,0,0,0,0,0,0,0,0.0309999994933605,-0.0179999992251396,-0.0219999998807907,0.028999999165535,-0.0679792836308479,-0.162505447864532,-0.215047255158424,-0.187326028943062,-0.127302661538124,-0.100360684096813
32,1930,-0.0679792836308479,0.0175564680248499,0.0319667309522629,0.0397598370909691,0,0,0,0,0,0,0,0,0.0529999993741512,0.0309999994933605,-0.0179999992251396,-0.0219999998807907,-0.0945261716842651,-0.147067978978157,-0.119346760213375,-0.059323389083147,-0.0323814153671265,-0.042048241943121
32,1931,-0.0945261716842651,-0.0679792836308479,0.0175564680248499,0.0319667309522629,1,0,0,0,0,0,0,0,0.0520000010728836,0.0529999993741512,0.0309999994933605,-0.0179999992251396,-0.0525418035686016,-0.0248205829411745,0.0352027863264084,0.0621447637677193,0.0524779371917248,0.105495199561119
32,1932,-0.0525418035686016,-0.0945261716842651,-0.0679792836308479,0.0175564680248499,1,0,1,0,0,0,0,0,-0.0219999998807907,0.0520000010728836,0.0529999993741512,0.0309999994933605,0.0277212206274271,0.0877445936203003,0.114686571061611,0.105019748210907,0.158037006855011,0.145105272531509
32,1933,0.0277212206274271,-0.0525418035686016,-0.0945261716842651,-0.0679792836308479,1,0,1,1,0,0,0,0,-0.0179999992251396,-0.0219999998807907,0.0520000010728836,0.0529999993741512,0.060023371130228,0.0869653448462486,0.0772985219955444,0.130315780639648,0.117384038865566,
